znamka,ime,letnik,kilometrina,motor,velikost motorja,menjalnik,cena,cas
Volkswagen,Touran,2011,275201,diesel motor,1968,avtomatski menjalnik,9990,"(23, 1)"
Renault,Grand Scenic,2014,139000,diesel motor,1598,ročni menjalnik,9999,"(23, 1)"
SsangYong,Kyron,2006,139000,diesel motor,1998,ročni menjalnik,1650,"(23, 1)"
Ford,Fusion,2008,102343,bencinski motor,1596,ročni menjalnik,3450,"(23, 1)"
Citroen,C4,2014,134858,diesel motor,1997,ročni menjalnik,13280,"(23, 1)"
Volkswagen,Passat,2014,122000,diesel motor,1598,ročni menjalnik,12100,"(23, 1)"
Ford,Focus,1999,190000,bencinski motor,1596,ročni menjalnik,400,"(23, 1)"
Volvo,V70,2015,170730,bencinski motor,1969,avtomatski menjalnik,13990,"(23, 1)"
Peugeot,3008,2015,116370,diesel motor,1997,ročni menjalnik,11980,"(23, 1)"
Kia,Rio,2012,36716,bencinski motor,1248,ročni menjalnik,5980,"(23, 1)"
Citroen,C4,2015,147483,diesel motor,1560,ročni menjalnik,12690,"(23, 1)"
Peugeot,206,2004,186000,bencinski motor,1360,ročni menjalnik,1390,"(23, 1)"
Peugeot,3008,2015,148548,diesel motor,1997,ročni menjalnik,11480,"(23, 1)"
BMW,Serija 3,2015,147000,diesel motor,1995,avtomatski menjalnik,14400,"(23, 1)"
Audi,Q3,2018,3000,diesel motor,1968,ročni menjalnik,29990,"(23, 1)"
Peugeot,3008,2011,250000,diesel motor,1560,avtomatski menjalnik,5800,"(23, 1)"
Hyundai,Atos,2001,91000,bencinski motor,999,ročni menjalnik,500,"(23, 1)"
BMW,Serija 2,2014,106882,diesel motor,1995,ročni menjalnik,14700,"(23, 1)"
Volkswagen,Sharan,2014,51645,diesel motor,1968,ročni menjalnik,19980,"(23, 1)"
Volkswagen,Golf,2007,251077,diesel motor,1896,ročni menjalnik,4250,"(23, 1)"
Peugeot,208,2012,65000,bencinski motor,1397,ročni menjalnik,6500,"(23, 1)"
Kia,Rio,2015,74000,bencinski motor,1248,ročni menjalnik,7990,"(23, 1)"
Volkswagen,Golf,2014,179000,diesel motor,1598,ročni menjalnik,9790,"(23, 1)"
Audi,A6,2012,245000,diesel motor,2967,avtomatski menjalnik,14850,"(23, 1)"
Mercedes-Benz,Vito,1999,312000,diesel motor,2151,ročni menjalnik,1900,"(23, 1)"
Audi,A4,2003,320000,diesel motor,1896,ročni menjalnik,2800,"(23, 1)"
