ime,letnik,kilometrina,motor,menjalnik,cena,cas

Fiat Punto,2008,189625 km,"bencinski motor, 1368 ccm, 57 kW  / 78 KM",ročni menjalnik (5 pr.),2490€,"(5, 11)"

Peugeot 307,2006,156025 km,"bencinski motor, 1587 ccm, 80 kW  / 109 KM",ročni menjalnik (5 pr.),2680€,"(5, 11)"

Hyundai ix35,2013,60862 km,"bencinski motor, 1591 ccm, 99 kW  / 135 KM",ročni menjalnik (6 pr.),11290€,"(5, 11)"

Renault Thalia,2001,209000 km,"bencinski motor, 1390 ccm, 72 kW  / 98 KM",ročni menjalnik (5 pr.),500€,"(5, 11)"

Ford Fiesta,2006,130180 km,"bencinski motor, 1242 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),2580€,"(5, 11)"

Nissan Micra,2006,152544 km,"bencinski motor, 1240 ccm, 48 kW  / 65 KM",ročni menjalnik (5 pr.),2240€,"(5, 11)"

Peugeot 2008,2015,145312 km,"diesel motor, 1560 ccm, 68 kW  / 93 KM",ročni menjalnik (5 pr.),9590€,"(5, 11)"

Audi A6,2015,156000 km,"diesel motor, 1968 ccm, 140 kW  / 191 KM",avtomatski menjalnik,22900€,"(5, 11)"

Fiat Punto,2009,204210 km,"diesel motor, 1248 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),2570€,"(5, 11)"

Renault Grand Scenic dCi 110 Energy Zen-...,2015,133465 km,"diesel motor, 1461 ccm, 81 kW  / 110 KM",avtomatski menjalnik,10590€,"(5, 11)"

Renault Clio,2005,155698 km,"bencinski motor, 1149 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),2240€,"(5, 11)"

Citroen C3,2005,198000 km,"diesel motor, 1398 ccm, 50 kW  / 68 KM",ročni menjalnik (5 pr.),2280€,"(5, 11)"

Renault Grand Espace Expression 2.2 dCi,2004,259000 km,"diesel motor, 2188 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),600€,"(5, 11)"

Citroen Xsara,2009,160000 km,"bencinski motor, 1587 ccm, 80 kW  / 109 KM",ročni menjalnik (5 pr.),2800€,"(5, 11)"

Peugeot 508,2013,160000 km,"diesel motor, 1997 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),9200€,"(5, 11)"

Kia CeeD,2010,155625 km,"bencinski motor, 1396 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),4100€,"(5, 11)"

BMW Serija 3,2014,187 km,"diesel motor, 1995 ccm, 105 kW  / 143 KM",avtomatski menjalnik,13990€,"(5, 11)"

Renault Laguna,2009,235000 km,"diesel motor, 1995 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),2950€,"(5, 11)"

Volkswagen Sharan,2010,279000 km,"diesel motor, 1968 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),9480€,"(5, 11)"

Audi Q7,2006,259635 km,"diesel motor, 2967 ccm, 171 kW  / 233 KM",avtomatski menjalnik / tiptronic,10450€,"(5, 11)"

Mercedes-Benz ML-Razred,2007,312000 km,"diesel motor, 2987 ccm, 165 kW  / 225 KM",avtomatski menjalnik / tiptronic,7900€,"(5, 11)"

BMW Serija 1,2015,179753 km,"diesel motor, 1496 ccm, 85 kW  / 116 KM",ročni menjalnik (6 pr.),13550€,"(5, 11)"

Citroen C1,2009,98000 km,"bencinski motor, 998 ccm, 50 kW  / 68 KM",ročni menjalnik (5 pr.),3200€,"(5, 11)"

Mini Coupe,2003,200000 km,"bencinski motor, 1598 ccm, 120 kW  / 164 KM",ročni menjalnik (6 pr.),4500€,"(5, 11)"

Audi A4,2012,22656 km,"diesel motor, 1968 ccm, 105 kW  / 143 KM",ročni menjalnik (6 pr.),9950€,"(5, 11)"

Opel Astra,2005,198000 km,"diesel motor, 1910 ccm, 88 kW  / 120 KM",ročni menjalnik (6 pr.),2100€,"(5, 11)"

Fiat Punto,2001,180000 km,"bencinski motor, 1242 ccm, 44 kW  / 60 KM",ročni menjalnik (5 pr.),650€,"(5, 11)"

Kia Picanto,2007,100500 km,"bencinski motor, 999 ccm, 45 kW  / 61 KM",ročni menjalnik (5 pr.),1400€,"(5, 11)"

Citroen C4,2006,2019 km,"bencinski motor, 1587 ccm, 80 kW  / 109 KM",ročni menjalnik (5 pr.),1800€,"(5, 11)"

Volkswagen Golf,2005,324000 km,"diesel motor, 1968 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),3290€,"(5, 11)"

Audi A6,2006,250721 km,"diesel motor, 1968 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),6990€,"(5, 11)"

Opel Astra,2011,295000 km,"diesel motor, 1686 ccm, 81 kW  / 110 KM",ročni menjalnik (6 pr.),2500€,"(5, 11)"

Cadillac Eldorado,1973,89000 km,"bencinski motor, 8200 ccm, 265 kW  / 361 KM",avtomatski menjalnik,9900€,"(5, 11)"

Volkswagen Golf,1999,331000 km,"diesel motor, 1896 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),890€,"(5, 11)"

Renault Megane,2007,177000 km,"bencinski motor, 1598 ccm, 82 kW  / 112 KM",ročni menjalnik (5 pr.),2090€,"(5, 11)"

Volkswagen Golf,2011,203538 km,"diesel motor, 1598 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),7790€,"(5, 11)"

Peugeot 206,1998,180000 km,"bencinski motor, 1360 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),790€,"(5, 11)"

BMW Serija 5,2006,176000 km,"diesel motor, 2993 ccm, 170 kW  / 232 KM",avtomatski menjalnik,7199€,"(5, 11)"

BMW Serija 3,2006,263212 km,"diesel motor, 1995 ccm, 90 kW  / 123 KM",ročni menjalnik (6 pr.),5690€,"(5, 11)"

