znamka,ime,letnik,kilometrina,motor,velikost motorja,menjalnik,cena,cas
Fiat,Punto,2008,189625,bencinski motor,1368,ročni menjalnik,2490,"(23, 1)"
Peugeot,307,2006,156025,bencinski motor,1587,ročni menjalnik,2680,"(23, 1)"
Hyundai,ix35,2013,60862,bencinski motor,1591,ročni menjalnik,11290,"(23, 1)"
Renault,Thalia,2001,209000,bencinski motor,1390,ročni menjalnik,500,"(23, 1)"
Ford,Fiesta,2006,130180,bencinski motor,1242,ročni menjalnik,2580,"(23, 1)"
Nissan,Micra,2006,152544,bencinski motor,1240,ročni menjalnik,2240,"(23, 1)"
Peugeot,2008,2015,145312,diesel motor,1560,ročni menjalnik,9590,"(23, 1)"
Audi,A6,2015,156000,diesel motor,1968,avtomatski menjalnik,22900,"(23, 1)"
Fiat,Punto,2009,204210,diesel motor,1248,ročni menjalnik,2570,"(23, 1)"
Renault,Grand Scenic,2015,133465,diesel motor,1461,avtomatski menjalnik,10590,"(23, 1)"
Renault,Clio,2005,155698,bencinski motor,1149,ročni menjalnik,2240,"(23, 1)"
Citroen,C3,2005,198000,diesel motor,1398,ročni menjalnik,2280,"(23, 1)"
Renault,Grand Espace,2004,259000,diesel motor,2188,ročni menjalnik,600,"(23, 1)"
Citroen,Xsara,2009,160000,bencinski motor,1587,ročni menjalnik,2800,"(23, 1)"
Peugeot,508,2013,160000,diesel motor,1997,ročni menjalnik,9200,"(23, 1)"
Kia,CeeD,2010,155625,bencinski motor,1396,ročni menjalnik,4100,"(23, 1)"
BMW,Serija 3,2014,187,diesel motor,1995,avtomatski menjalnik,13990,"(23, 1)"
Renault,Laguna,2009,235000,diesel motor,1995,ročni menjalnik,2950,"(23, 1)"
Volkswagen,Sharan,2010,279000,diesel motor,1968,ročni menjalnik,9480,"(23, 1)"
Audi,Q7,2006,259635,diesel motor,2967,avtomatski menjalnik,10450,"(23, 1)"
Mercedes-Benz,ML-Razred,2007,312000,diesel motor,2987,avtomatski menjalnik,7900,"(23, 1)"
BMW,Serija 1,2015,179753,diesel motor,1496,ročni menjalnik,13550,"(23, 1)"
Citroen,C1,2009,98000,bencinski motor,998,ročni menjalnik,3200,"(23, 1)"
Mini,Coupe,2003,200000,bencinski motor,1598,ročni menjalnik,4500,"(23, 1)"
Audi,A4,2012,22656,diesel motor,1968,ročni menjalnik,9950,"(23, 1)"
Opel,Astra,2005,198000,diesel motor,1910,ročni menjalnik,2100,"(23, 1)"
Fiat,Punto,2001,180000,bencinski motor,1242,ročni menjalnik,650,"(23, 1)"
Kia,Picanto,2007,100500,bencinski motor,999,ročni menjalnik,1400,"(23, 1)"
Citroen,C4,2006,2019,bencinski motor,1587,ročni menjalnik,1800,"(23, 1)"
Volkswagen,Golf,2005,324000,diesel motor,1968,ročni menjalnik,3290,"(23, 1)"
Audi,A6,2006,250721,diesel motor,1968,ročni menjalnik,6990,"(23, 1)"
Opel,Astra,2011,295000,diesel motor,1686,ročni menjalnik,2500,"(23, 1)"
Cadillac,Eldorado,1973,89000,bencinski motor,8200,avtomatski menjalnik,9900,"(23, 1)"
Volkswagen,Golf,1999,331000,diesel motor,1896,ročni menjalnik,890,"(23, 1)"
Renault,Megane,2007,177000,bencinski motor,1598,ročni menjalnik,2090,"(23, 1)"
Volkswagen,Golf,2011,203538,diesel motor,1598,ročni menjalnik,7790,"(23, 1)"
Peugeot,206,1998,180000,bencinski motor,1360,ročni menjalnik,790,"(23, 1)"
BMW,Serija 5,2006,176000,diesel motor,2993,avtomatski menjalnik,7199,"(23, 1)"
BMW,Serija 3,2006,263212,diesel motor,1995,ročni menjalnik,5690,"(23, 1)"
Fiat,Stilo,2007,260000,diesel motor,1910,ročni menjalnik,2590,"(23, 1)"
Škoda,Octavia,2014,116832,diesel motor,1598,ročni menjalnik,11999,"(23, 1)"
BMW,Serija 3,1995,338000,bencinski motor,1596,ročni menjalnik,350,"(23, 1)"
Alfa Romeo,147,2006,106000,bencinski motor,1598,ročni menjalnik,900,"(23, 1)"
Audi,Q3,2016,132800,diesel motor,1968,ročni menjalnik,20999,"(23, 1)"
Volkswagen,Golf,2002,322000,diesel motor,1896,ročni menjalnik,1590,"(23, 1)"
Audi,A4,2007,123800,diesel motor,1968,ročni menjalnik,10990,"(23, 1)"
BMW,Serija 5,2004,267000,diesel motor,2993,ročni menjalnik,4900,"(23, 1)"
Škoda,Superb,2009,220000,bencinski motor,1798,ročni menjalnik,8299,"(23, 1)"
Fiat,Panda,2004,175000,bencinski motor,1108,ročni menjalnik,1490,"(23, 1)"
BMW,Serija 5,2015,92435,diesel motor,2993,avtomatski menjalnik,28900,"(23, 1)"
Fiat,Croma,2006,237000,diesel motor,1910,ročni menjalnik,1890,"(23, 1)"
Audi,A4,2013,156500,diesel motor,1968,ročni menjalnik,14490,"(23, 1)"
BMW,Serija 3,2004,308000,diesel motor,1995,ročni menjalnik,3200,"(23, 1)"
Nissan,Juke,2011,110000,bencinski motor,1618,ročni menjalnik,9100,"(23, 1)"
Mercedes-Benz,CLS-Razred,2005,250000,bencinski motor,3498,avtomatski menjalnik,7800,"(23, 1)"
Citroen,C8,2002,300000,diesel motor,2179,ročni menjalnik,850,"(23, 1)"
Hyundai,Coupe,2007,170000,bencinski motor,1599,ročni menjalnik,3790,"(23, 1)"
Volvo,S80,2006,200000,diesel motor,2400,avtomatski menjalnik,4800,"(23, 1)"
Mitsubishi,Carisma,2001,300000,bencinski motor,1597,ročni menjalnik,390,"(23, 1)"
Volkswagen,Passat,2011,192000,diesel motor,1598,ročni menjalnik,7650,"(23, 1)"
BMW,Serija 5,2002,270000,diesel motor,1951,ročni menjalnik,1410,"(23, 1)"
Škoda,Octavia,2016,133683,diesel motor,1598,avtomatski menjalnik,13290,"(23, 1)"
Mitsubishi,Pajero,2000,256000,bencinski motor + plin,1834,ročni menjalnik,2050,"(23, 1)"
Renault,Clio,1998,163000,bencinski motor,1149,ročni menjalnik,580,"(23, 1)"
Mitsubishi,Carisma,1997,262000,bencinski motor,1597,ročni menjalnik,250,"(23, 1)"
Volkswagen,Touran,2013,161000,diesel motor,1598,ročni menjalnik,10390,"(23, 1)"
